Nama Wilayah;ADM2_PCODE;Tahun;Long;Lat;Y;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10
Kep. Seribu;ID3101;2019;106.5071982;-5.7985266;12.09;8.47;12623;71.4;68.51;8.70;72.79;92.84; 5.89 ; 57.53 ;3898736
Kota Jakarta Selatan;ID3171;2019;106.807915;-6.262654;2.73;11.62;23851;84.75;74.03;11.61;92.75;99.91; 7.19 ; 62.89 ;421300849
Kota Jakarta Timur;ID3172;2019;106.899527;-6.224886;3.12;11.65;17662;82.69;74.37;11.42;95.36;99.66; 6.35 ; 63.74 ;313540959
Kota Jakarta Pusat;ID3173;2019;106.827915;-6.180105;3.68;11.25;17285;81.24;74.02;11.18;87.53;100.00; 7.88 ; 64.42 ;452521529
Kota Jakarta Barat;ID3174;2019;106.76334;-6.167484;3.25;10.4;20875;81.21;73.54;10.57;94.95;99.78; 5.55 ; 62.61 ;318927929
Kota Jakarta Utara;ID3175;2019;106.89255;-6.155492;5.04;10.7;18566;80.17;73.18;10.73;89.51;100.00; 6.72 ; 67.08 ;332807592
Bogor;ID3201;2019;106.6291;-6.5518;6.66;8.29;10683;70.65;71.01;8.82;61.17;91.02; 9.11 ; 65.41 ;156876009
Sukabumi;ID3202;2019;106.9536;-6.8649;6.22;7.02;8973;66.87;70.73;7.65;49.66;79.57; 8.05 ; 62.65 ;46628336
Cianjur;ID3203;2019;107.1957;-7.358;9.15;6.97;8290;65.38;69.91;7.37;49.71;81.50; 9.81 ; 66.00 ;32039318
Bandung;ID3204;2019;107.6215;-7.1341;5.94;8.79;10502;72.41;73.4;9.13;70.09;97.84; 5.51 ; 65.32 ;82547437
Garut;ID3205;2019;107.7636;-7.5012;8.98;7.51;8099;66.22;71.22;8.00;41.37;84.17; 7.35 ; 62.60 ;39092492
Tasikmalaya;ID3206;2019;108.1429;-7.6513;9.12;7.17;8092;65.64;69.21;7.81;47.19;76.18; 6.31 ; 66.46 ;24586665
Ciamis;ID3207;2019;108.3493;-7.3321;6.65;7.69;9557;70.39;71.57;8.08;57.53;82.80; 5.16 ; 67.39 ;22001240
Kuningan;ID3208;2019;108.5701;-7.0138;11.41;7.38;9673;69.12;73.35;7.81;82.68;94.26; 9.68 ; 61.20 ;16864147
Cirebon;ID3209;2019;108.4751;-6.6899;9.94;6.71;10670;68.69;71.82;7.54;81.84;95.55; 10.35 ; 65.23 ;33668098
Majalengka;ID3210;2019;108.2852;-6.7791;10.06;7.09;9822;67.52;69.97;7.64;76.36;97.95; 4.37 ; 67.83 ;21561720
Sumedang;ID3211;2019;107.9532;-6.8329;9.05;8.27;10406;71.46;72.29;8.64;89.26;89.77; 7.70 ; 63.90 ;23932730
Indramayu;ID3212;2019;108.3258;-6.3373;11.11;5.99;10090;66.97;71.37;6.61;86.40;95.25; 8.35 ; 67.69 ;60153183
Subang;ID3213;2019;107.7636;-6.3488;8.12;6.85;11012;68.69;72.13;7.34;78.23;98.33; 8.68 ; 67.67 ;28672900
Purwakarta;ID3214;2019;107.4322;-6.5649;7.48;7.92;11819;70.67;70.8;8.28;82.60;82.34; 9.73 ; 63.88 ;46278213
Karawang;ID3215;2019;107.3376;-6.3227;7.39;7.65;11856;70.86;71.98;8.27;74.32;95.84; 9.68 ; 63.57 ;163946848
Bekasi;ID3216;2019;107.1485;-6.2474;4.01;8.84;11610;73.99;73.56;8.96;86.97;96.07; 9.00 ; 64.02 ;251502786
Kab Bandung Barat;ID3217;2019;107.492;-6.8652;9.38;8.18;8684;68.27;72.18;8.71;59.47;92.17; 8.24 ; 61.97 ;31398352
Kota Bogor;ID3271;2019;106.806;-6.5971;5.77;10.32;11825;76.23;73.41;10.36;67.57;98.75; 9.16 ; 63.68 ;32295729
Kota Sukabumi;ID3272;2019;106.93;-6.9277;6.67;9.58;11204;74.31;72.26;9.88;39.79;97.60; 8.49 ; 62.48 ;8664017
